"Pending Appointment and Electronic Wait List
Summary -National, Facility, and Division Level
Summaries Wait Time Calculated from Preferred
Date
For the period ending:  11/1/2016","1. Total Appts
Scheduled","2. Appts
Scheduled 30
Days or Under","3. Percent
Appts
Scheduled
30 Days or
Under","4. Appts
Scheduled Over
30 Days","5. Percent
Appts
Scheduled
Over 30
Days","6. New
Enroll Appt
Req","7. EWL
Count","8. Appts
Between 0-14
Days","9. EWL 0-
14 Days","10. Appts
Between 15-30
Days","11. EWL 15
-30 days","12. Appts
Between 31-60
Days","13. EWL 31
-60 Days","14. Appts
Between 61-90
Days","15. EWL 61
-90 Days","16. Appts
Between 91-
120 Days","17. EWL 91
-120 Days","18. Appts
Beyond 120
Days","19. EWL
Greater
than 120
Days","20. PC
Avg
Wait
Time","21. SC
Avg
Wait
Time","22. MH
Avg
Wait
Time"
(V21) (654GB) Carson Valley,960,875,91.15%,85,8.85%,0,2,767,1,108,0,75,0,5,1,4,0,1,0,14.41,0,2.18
(V21) (654GC) Lahontan Valley,"1,048","1,002",95.61%,46,4.39%,0,0,952,0,50,0,26,0,6,0,2,0,12,0,5.78,0.03,1.02
(V21) (654GD) Diamond View,255,245,96.08%,10,3.92%,0,0,238,0,7,0,8,0,2,0,0,0,0,0,5.45,0,0.84
"(V21) (662) San Francisco, CA","37,921","35,608",93.90%,"2,313",6.10%,34,727,"32,881",74,"2,727",38,"1,609",110,383,73,175,82,146,350,10.8,7.44,5.29
(V21) (662) San Francisco VAMC,"26,104","24,917",95.45%,"1,187",4.55%,0,409,"23,407",23,"1,510",15,837,59,181,37,84,41,85,234,9.42,6.07,1.1
(V21) (662GA) Santa Rosa,"4,873","4,125",84.65%,748,15.35%,0,3,"3,484",1,641,0,512,1,142,1,76,0,18,0,15.25,15.01,12.49
(V21) (662GC) Eureka,"2,346","2,230",95.06%,116,4.94%,0,125,"2,030",14,200,19,88,33,16,28,9,20,3,11,7.9,6.49,8.98
(V21) (662GD) Ukiah,"1,236","1,107",89.56%,129,10.44%,0,182,942,34,165,4,98,13,27,7,2,21,2,103,13.37,2.4,14.15
(V21) (662GE) San Bruno,"1,033","1,004",97.19%,29,2.81%,0,0,917,0,87,0,26,0,2,0,1,0,0,0,5.76,7.63,3.81
(V21) (662GF) San Francisco VA Clinic,689,680,98.69%,9,1.31%,0,2,645,2,35,0,6,0,3,0,0,0,0,0,4.08,4.41,3.24
(V21) (662GG) Clearlake,"1,640","1,545",94.21%,95,5.79%,0,6,"1,456",0,89,0,42,4,12,0,3,0,38,2,14.73,2.43,4.25
"(V22) (593) Las Vegas, NV","72,826","61,571",84.55%,"11,255",15.45%,169,175,"57,405",54,"4,166",19,"5,098",27,"3,791",13,"1,833",12,533,50,9.76,17.61,7.11
(V22) (593) Las Vegas VA Medical Center,"41,597","33,679",80.96%,"7,918",19.04%,0,115,"31,007",37,"2,672",15,"3,353",25,"2,800",5,"1,289",2,476,31,6.53,17.84,2.38
(V22) (593GC) Pahrump,"1,617","1,537",95.05%,80,4.95%,0,0,"1,523",0,14,0,47,0,26,0,6,0,1,0,1.91,3.13,6.25
"(V22) (593GD) Northwest Las Vegas VA
Clinic","8,539","7,868",92.14%,671,7.86%,0,38,"7,470",6,398,1,407,1,162,6,86,8,16,16,7.29,13.58,7.01
"(V22) (593GE) Southeast Las Vegas VA
Clinic","6,883","6,270",91.09%,613,8.91%,0,1,"5,966",1,304,0,308,0,144,0,145,0,16,0,8.74,8.36,7.56
"(V22) (593GF) Southwest Las Vegas VA
Clinic","7,892","7,154",90.65%,738,9.35%,0,0,"6,746",0,408,0,472,0,227,0,36,0,3,0,9.41,13.04,7.16
"(V22) (593GG) Northeast Las Vegas VA
Clinic","5,635","4,438",78.76%,"1,197",21.24%,0,2,"4,147",2,291,0,482,0,426,0,271,0,18,0,20.26,5.75,14.26
(V22) (593GH) Laughlin,663,625,94.27%,38,5.73%,0,19,546,8,79,3,29,1,6,2,0,2,3,3,6.61,2,
"(V22) (600) Long Beach, CA","52,521","47,889",91.18%,"4,632",8.82%,80,81,"44,432",18,"3,457",8,"2,785",11,927,26,578,8,342,10,8.62,9.27,7.11
"(V22) (600) Long Beach VA Medical
Center","47,155","42,847",90.86%,"4,308",9.14%,0,79,"39,831",18,"3,016",8,"2,559",11,849,26,562,7,338,9,9.64,9.2,6.81
(V22) (600GA) Anaheim,"1,119","1,084",96.87%,35,3.13%,0,1,992,0,92,0,22,0,9,0,2,1,2,0,6.09,0,5.79
(V22) (600GB) Santa Ana,"1,874","1,650",88.05%,224,11.95%,0,0,"1,437",0,213,0,149,0,60,0,14,0,1,0,8.83,14.3,11.33
(V22) (600GC) Cabrillo,250,247,98.80%,3,1.20%,0,0,235,0,12,0,3,0,0,0,0,0,0,0,2.35,0.06,5.59
(V22) (600GD) Whittier,"1,082","1,052",97.23%,30,2.77%,0,0,"1,015",0,37,0,22,0,7,0,0,0,1,0,4.74,,6.91
(V22) (600GE) Laguna Hills,"1,041","1,009",96.93%,32,3.07%,0,1,922,0,87,0,30,0,2,0,0,0,0,1,6.95,0.07,4.92
"(V22) (605) Loma Linda, CA","41,005","36,973",90.17%,"4,032",9.83%,0,65,"33,745",5,"3,228",13,"2,280",17,"1,026",9,342,8,384,13,3.21,9.86,4.6
(V22) (605BZ) Loma Linda VA Clinic,"24,844","23,663",95.25%,"1,181",4.75%,0,10,"22,223",6,"1,440",1,833,3,224,0,100,0,24,0,4.55,7.96,4.52
(V22) (605GA) Victorville,"3,310","2,471",74.65%,839,25.35%,0,3,"2,244",0,227,0,391,0,316,0,80,0,52,3,21.77,23.57,24.46
(V22) (605GB) Murrieta,"5,119","3,335",65.15%,"1,784",34.85%,0,11,"3,025",0,310,1,427,4,528,2,777,1,52,3,49.19,16.84,8.81
(V22) (605GC) Palm Desert,"9,438","9,384",99.43%,54,0.57%,0,7,"9,225",2,159,2,33,2,3,0,2,0,16,1,2.25,1.67,0.32
(V22) (605GD) Corona,"1,540","1,267",82.27%,273,17.73%,0,6,"1,058",2,209,0,216,1,45,0,6,2,6,1,26.95,0,5.37
(V22) (605GE) Rancho Cucamonga,"3,803","3,403",89.48%,400,10.52%,0,17,"3,225",0,178,0,160,0,82,0,73,4,85,13,9.21,2.5,17.47
"(V22) (664) San Diego, CA","65,633","59,555",90.74%,"6,078",9.26%,6,79,"54,761",38,"4,794",17,"3,848",9,"1,445",10,445,0,340,5,3.98,10.5,7.64
(V22) (664) San Diego VA Medical Center,"41,621","37,349",89.74%,"4,272",10.26%,0,41,"34,327",18,"3,022",4,"2,581",7,"1,011",9,377,0,303,3,4.62,10.44,7.25
(V22) (664BU) San Diego Domiciliary,6,6,100.00%,0,0.00%,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,,
(V22) (664BY) Mission Valley,"10,417","9,303",89.31%,"1,114",10.69%,0,32,"8,264",16,"1,039",11,806,2,232,1,47,0,29,2,4.86,16.32,9.8
(V22) (664GA) Imperial Valley,642,636,99.07%,6,0.93%,0,0,630,0,6,0,3,0,2,0,0,0,1,0,2.95,0,2.55
(V22) (664GB) Oceanside,"9,030","8,486",93.98%,544,6.02%,0,6,"7,965",4,521,2,349,0,175,0,17,0,3,0,3.17,8.41,4.63
(V22) (664GC) Chula Vista,"1,899","1,806",95.10%,93,4.90%,0,0,"1,678",0,128,0,78,0,12,0,0,0,3,0,3.51,8.71,1.46
(V22) (664GD) Escondido,"2,018","1,969",97.57%,49,2.43%,0,0,"1,891",0,78,0,31,0,13,0,4,0,1,0,1.89,4,6.45
(V22) (691) Greater Los Angeles HCS,"85,721","73,885",86.19%,"11,836",13.81%,22,733,"67,271",40,"6,614",23,"7,054",35,"3,047",44,"1,208",26,527,565,8.29,14.61,5.88
"(V22) (691) West Los Angeles VA Medical
Center","38,076","31,611",83.02%,"6,465",16.98%,0,560,"28,257",14,"3,354",8,"4,140",27,"1,376",24,608,21,341,466,10.09,13.06,8.17
"(V22) (691A4) Sepulveda VA Medical
Center","20,939","17,481",83.49%,"3,458",16.51%,0,172,"15,706",25,"1,775",15,"1,874",8,"1,097",20,376,5,111,99,8.42,18.62,2.72
(V22) (691GB) Santa Barbara,"2,084","2,059",98.80%,25,1.20%,0,0,"2,016",0,43,0,17,0,6,0,1,0,1,0,2.88,6.82,2.08
(V22) (691GC) Gardena,"1,080","1,037",96.02%,43,3.98%,0,0,"1,004",0,33,0,19,0,21,0,2,0,1,0,1.6,2.69,6.17
(V22) (691GD) Bakersfield,"6,760","6,300",93.20%,460,6.80%,0,0,"6,189",0,111,0,165,0,177,0,113,0,5,0,1.96,25.34,1.99
(V22) (691GE) Los Angeles,"8,984","8,482",94.41%,502,5.59%,0,0,"8,039",0,443,0,307,0,155,0,27,0,13,0,1.87,10.18,5.49
(V22) (691GF) East Los Angeles,854,852,99.77%,2,0.23%,0,0,820,0,32,0,1,0,1,0,0,0,0,0,3.07,,2.53
(V22) (691GG) Antelope Valley,848,821,96.82%,27,3.18%,0,0,733,0,88,0,8,0,2,0,16,0,1,0,8.49,6.66,0.88
(V22) (691GK) San Luis Obispo,"1,120",998,89.11%,122,10.89%,0,0,872,0,126,0,74,0,36,0,8,0,4,0,13.38,10.89,8.44
(V22) (691GL) Santa Maria,"2,633","2,288",86.90%,345,13.10%,0,0,"1,991",0,297,0,207,0,83,0,29,0,26,0,11.34,10.91,17.96
(V22) (691GM) Oxnard,"2,343","1,956",83.48%,387,16.52%,0,1,"1,644",1,312,0,242,0,93,0,28,0,24,0,25.99,16.89,6.31
"(V23) (437) Fargo, ND","24,467","22,574",92.26%,"1,893",7.74%,27,7,"21,423",2,"1,151",1,"1,164",1,515,3,144,0,70,0,4.4,9.71,1.62
(V23) (437) Fargo VAMC,"19,795","18,103",91.45%,"1,692",8.55%,0,7,"17,121",2,982,1,"1,030",1,465,3,131,0,66,0,5.01,9.55,1.89
(V23) (437GA) Grafton,194,182,93.81%,12,6.19%,0,0,180,0,2,0,6,0,4,0,2,0,0,0,2.84,0,0.03
(V23) (437GB) Bismarck,"1,319","1,207",91.51%,112,8.49%,0,0,"1,130",0,77,0,74,0,29,0,5,0,4,0,3.49,19.63,1.44
(V23) (437GC) Fergus Falls,391,388,99.23%,3,0.77%,0,0,384,0,4,0,3,0,0,0,0,0,0,0,1.81,1.54,0.49
(V23) (437GD) Minot,546,529,96.89%,17,3.11%,0,0,518,0,11,0,9,0,8,0,0,0,0,0,1.34,12.36,1.38
(V23) (437GE) Bemidji,"1,273","1,229",96.54%,44,3.46%,0,0,"1,179",0,50,0,37,0,7,0,0,0,0,0,5.61,0.92,1.4
(V23) (437GF) Williston,162,161,99.38%,1,0.62%,0,0,159,0,2,0,0,0,1,0,0,0,0,0,1.39,3.57,0.48
(V23) (437GI) Grand Forks,787,775,98.48%,12,1.52%,0,0,752,0,23,0,5,0,1,0,6,0,0,0,2,1.79,0.87
"(V23) (438) Sioux Falls, SD","25,530","22,914",89.75%,"2,616",10.25%,0,24,"21,434",9,"1,480",6,"1,611",6,853,1,103,1,49,1,2.83,12.21,3.09
(V23) (438) Royal C. Johnson VAMC,"20,069","17,528",87.34%,"2,541",12.66%,0,22,"16,308",9,"1,220",6,"1,546",5,849,1,101,0,45,1,2.65,12.73,3.13
(V23) (438GA) Spirit Lake,962,953,99.06%,9,0.94%,0,0,908,0,45,0,6,0,0,0,2,0,1,0,1.9,5.28,3.49
(V23) (438GC) Sioux City,"2,328","2,284",98.11%,44,1.89%,0,0,"2,168",0,116,0,38,0,4,0,0,0,2,0,3.87,5.24,3.79
(V23) (438GD) Aberdeen,"1,146","1,137",99.21%,9,0.79%,0,2,"1,072",0,65,0,8,1,0,0,0,1,1,0,1.22,7.01,2.37
(V23) (438GE) Wagner,135,132,97.78%,3,2.22%,0,0,120,0,12,0,3,0,0,0,0,0,0,0,3.49,0,14.19
"(V23) (568) Black Hills HCS, SD","11,569","10,308",89.10%,"1,261",10.90%,1,9,"9,468",1,840,1,955,2,173,0,21,1,112,4,4.83,15.35,3.62
(V23) (568) Fort Meade VAMC,"6,193","5,302",85.61%,891,14.39%,0,0,"4,741",0,561,0,665,0,145,0,6,0,75,0,8.23,15.38,2.33
(V23) (568A4) Hot Springs,"2,719","2,517",92.57%,202,7.43%,0,8,"2,366",0,151,1,136,2,18,0,11,1,37,4,2.7,14.98,1.77
(V23) (568GA) Rapid City,"1,829","1,684",92.07%,145,7.93%,0,0,"1,594",0,90,0,138,0,5,0,2,0,0,0,2.62,16.97,5.33
(V23) (568GB) Pierre,310,307,99.03%,3,0.97%,0,0,296,0,11,0,3,0,0,0,0,0,0,0,1.51,0,3.24
(V23) (568HA) Newcastle,24,21,87.50%,3,12.50%,0,0,17,0,4,0,2,0,1,0,0,0,0,0,14.81,,4.25
(V23) (568HB) Gordon CBOC,37,31,83.78%,6,16.22%,0,0,18,0,13,0,6,0,0,0,0,0,0,0,18.33,,8.08
(V23) (568HF) Pine Ridge,114,108,94.74%,6,5.26%,0,0,105,0,3,0,3,0,2,0,1,0,0,0,21.83,,11.3
(V23) (568HH) Scottsbluff,201,199,99.00%,2,1.00%,0,0,196,0,3,0,2,0,0,0,0,0,0,0,2.5,0,1.11
(V23) (568HJ) Mission,80,79,98.75%,1,1.25%,0,0,79,0,0,0,0,0,1,0,0,0,0,0,0.88,,
(V23) (568HK) McLaughlin,8,8,100.00%,0,0.00%,0,0,5,0,3,0,0,0,0,0,0,0,0,0,,,12.29
(V23) (568HM) Eagle Butte,4,4,100.00%,0,0.00%,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,0
(V23) (568HP) Winner,47,45,95.74%,2,4.26%,0,1,44,1,1,0,0,0,1,0,1,0,0,0,6.15,,1.17
(V23) (568MA) IDES Ellsworth AFB,3,3,100.00%,0,0.00%,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,4,13
"(V23) (618) Minneapolis, MN","73,367","68,437",93.28%,"4,930",6.72%,44,138,"63,684",8,"4,753",4,"2,885",5,"1,367",31,489,37,189,53,5.86,9.92,2.26
(V23) (618) Minneapolis VAMC,"53,502","49,657",92.81%,"3,845",7.19%,0,138,"46,142",8,"3,515",4,"2,317",5,"1,011",31,365,37,152,53,6.18,9.63,1.27
(V23) (618BY) Twin Ports,"4,736","4,215",89.00%,521,11.00%,0,0,"3,931",0,284,0,193,0,220,0,98,0,10,0,7.09,20.68,4.5
(V23) (618GA) St. James,"1,483","1,452",97.91%,31,2.09%,0,0,"1,430",0,22,0,30,0,0,0,0,0,1,0,2.47,0,0.85
(V23) (618GB) Hibbing,925,918,99.24%,7,0.76%,0,0,854,0,64,0,7,0,0,0,0,0,0,0,3.95,2.39,4.42
(V23) (618GD) Maplewood,"1,815","1,727",95.15%,88,4.85%,0,0,"1,567",0,160,0,69,0,18,0,1,0,0,0,7.07,9.67,2.46
(V23) (618GE) Chippewa Valley,"2,233","2,181",97.67%,52,2.33%,0,0,"2,097",0,84,0,29,0,10,0,4,0,9,0,4.61,4.11,3.41
(V23) (618GG) Rochester,"1,774","1,700",95.83%,74,4.17%,0,0,"1,517",0,183,0,65,0,8,0,0,0,1,0,8.01,0.25,3.58
(V23) (618GH) Hayward,"1,219","1,182",96.96%,37,3.04%,0,0,"1,081",0,101,0,11,0,16,0,6,0,4,0,6.82,1.25,3.86
(V23) (618GI) Northwest Metro,"3,930","3,681",93.66%,249,6.34%,0,0,"3,460",0,221,0,145,0,78,0,14,0,12,0,4.21,8.08,2.44
(V23) (618GJ) Shakopee,969,960,99.07%,9,0.93%,0,0,922,0,38,0,5,0,4,0,0,0,0,0,4.1,7.52,1.42
(V23) (618GK) Albert Lea,492,481,97.76%,11,2.24%,0,0,472,0,9,0,8,0,2,0,1,0,0,0,2.07,4.05,4.91
(V23) (618QA) Fort Snelling,289,283,97.92%,6,2.08%,0,0,211,0,72,0,6,0,0,0,0,0,0,0,7.81,11.25,2.58
"(V23) (636) Central Iowa, IA","19,428","17,514",90.15%,"1,914",9.85%,10,193,"16,294",73,"1,220",25,"1,258",16,362,30,172,14,122,35,4.32,10.01,5.39
(V23) (636A6) Des Moines VAMC,"15,614","13,950",89.34%,"1,664",10.66%,0,172,"13,008",72,942,25,"1,135",12,329,21,99,13,101,29,3.92,8.89,7.1
(V23) (636BU) VADOM Des Moines IA,51,51,100.00%,0,0.00%,0,0,51,0,0,0,0,0,0,0,0,0,0,0,,0,
(V23) (636GC) Mason City,"1,279","1,236",96.64%,43,3.36%,0,2,"1,141",0,95,0,38,1,1,0,3,0,1,1,3.72,9.4,2.54
(V23) (636GD) Marshalltown,470,426,90.64%,44,9.36%,0,13,391,0,35,0,11,3,5,9,13,1,15,0,3.42,30.76,0
(V23) (636GK) Fort Dodge,791,760,96.08%,31,3.92%,0,0,692,0,68,0,27,0,3,0,1,0,0,0,9.4,5.16,0.81
(V23) (636GM) Carroll,471,433,91.93%,38,8.07%,0,0,384,0,49,0,24,0,3,0,7,0,4,0,2.94,19.95,6.37
(V23) (636GR) Knoxville,752,658,87.50%,94,12.50%,0,6,627,1,31,0,23,0,21,0,49,0,1,5,0.74,24.59,2
"(V23) (636) Iowa City, IA","32,009","28,774",89.89%,"3,235",10.11%,1,3,"26,436",3,"2,338",0,"2,243",0,577,0,194,0,221,0,5.99,11.71,4.13
(V23) (636A8) Iowa City VAMC,"20,299","17,520",86.31%,"2,779",13.69%,0,2,"15,895",2,"1,625",0,"1,849",0,539,0,187,0,204,0,6.48,12.62,2.32
(V23) (636GF) Quad Cities,"1,997","1,891",94.69%,106,5.31%,0,0,"1,713",0,178,0,99,0,6,0,1,0,0,0,10.18,4.7,4.42
(V23) (636GG) Quincy,937,915,97.65%,22,2.35%,0,0,854,0,61,0,16,0,4,0,1,0,1,0,4.55,26.17,4.82
(V23) (636GH) Waterloo,"1,666","1,599",95.98%,67,4.02%,0,1,"1,505",1,94,0,54,0,4,0,2,0,7,0,7.66,0.58,5.11
(V23) (636GI) Lane A Evans CBOC,"1,680","1,616",96.19%,64,3.81%,0,0,"1,509",0,107,0,58,0,3,0,0,0,3,0,4.92,2.41,5.02
(V23) (636GJ) Dubuque,"1,040",962,92.50%,78,7.50%,0,0,868,0,94,0,61,0,13,0,2,0,2,0,10.04,9.12,6.24
(V23) (636GN) Cedar Rapids,"2,004","1,924",96.01%,80,3.99%,0,0,"1,818",0,106,0,76,0,2,0,0,0,2,0,2.81,5.18,8.93
(V23) (636GU) Decorah,380,375,98.68%,5,1.32%,0,0,356,0,19,0,2,0,1,0,0,0,2,0,6.09,0,3.52
(V23) (636QC) Linn County,39,39,100.00%,0,0.00%,0,0,39,0,0,0,0,0,0,0,0,0,0,0,,,0
(V23) (636QG) Iowa City VA Mobile Clinic,191,189,98.95%,2,1.05%,0,0,185,0,4,0,2,0,0,0,0,0,0,0,,1.75,
(V23) (636QI) Davenport VA Clinic,196,195,99.49%,1,0.51%,0,0,193,0,2,0,1,0,0,0,0,0,0,0,,,1.43
"(V23) (636) Nebraska-W Iowa, NE","40,079","38,050",94.94%,"2,029",5.06%,16,212,"35,769",58,"2,281",38,"1,327",27,507,13,112,12,83,64,3.95,7.87,2.11
(V23) (636) Omaha VAMC,"22,672","21,074",92.95%,"1,598",7.05%,0,193,"19,374",58,"1,700",37,968,24,468,8,92,11,70,55,3.31,10.06,3.23
(V23) (636A4) Grand Island VAMC,"7,785","7,745",99.49%,40,0.51%,0,11,"7,613",0,132,1,18,1,6,4,6,1,10,4,1.75,1.68,0.87
(V23) (636A5) Lincoln,"6,935","6,689",96.45%,246,3.55%,0,0,"6,379",0,310,0,216,0,20,0,7,0,3,0,3.31,7.15,0.85
(V23) (636BW) Grand Island Domiciliary,14,14,100.00%,0,0.00%,0,0,14,0,0,0,0,0,0,0,0,0,0,0,,,0
(V23) (636BX) Omaha Domiciliary,161,161,100.00%,0,0.00%,0,1,161,0,0,0,0,0,0,0,0,0,0,1,,,
(V23) (636GA) Norfolk,756,635,83.99%,121,16.01%,0,0,593,0,42,0,107,0,11,0,3,0,0,0,16.54,0.14,0.95
(V23) (636GB) North Platte,506,502,99.21%,4,0.79%,0,7,460,0,42,0,2,2,1,1,1,0,0,4,6.85,1.14,1.04
(V23) (636GL) Bellevue,662,647,97.73%,15,2.27%,0,0,611,0,36,0,15,0,0,0,0,0,0,0,3.24,3.97,0
(V23) (636GP) Shenandoah,333,329,98.80%,4,1.20%,0,0,314,0,15,0,1,0,0,0,3,0,0,0,4.21,7.91,0.11
(V23) (636GQ) Holdrege,255,254,99.61%,1,0.39%,0,0,250,0,4,0,0,0,1,0,0,0,0,0,1.08,3.19,0.11
"(V23) (656) St. Cloud, MN","34,972","32,998",94.36%,"1,974",5.64%,3,13,"31,123",2,"1,875",3,"1,279",2,480,2,129,0,86,4,5.42,10.83,5.93
(V23) (656) St Cloud VAMC,"30,827","29,045",94.22%,"1,782",5.78%,0,10,"27,383",1,"1,662",3,"1,133",1,443,1,124,0,82,4,5.22,10.72,6.97
(V23) (6569AA) VANURS St Cloud,1,0,0.00%,1,100.00%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,
(V23) (656GA) Brainerd,"2,145","2,076",96.78%,69,3.22%,0,0,"1,950",0,126,0,56,0,9,0,3,0,1,0,4.61,7.77,3.64
(V23) (656GB) Montevideo,701,661,94.29%,40,5.71%,0,0,631,0,30,0,36,0,2,0,0,0,2,0,9.9,0,0.64
(V23) (656GC) Max J. Beilke VA OPC,"1,080","1,064",98.52%,16,1.48%,0,3,"1,042",1,22,0,14,1,1,1,0,0,1,0,4.16,0,1.39
